request_id,arrival_ms,isl,osl,session_id,prefix_id
0,46.51517777663059,128,64,,
1,81.98090660092464,128,64,,
2,95.62373523946447,128,64,,
3,103.11479304480982,128,64,,
4,121.01366178898859,128,64,,
5,133.9907414440365,128,64,,
6,172.2793626339036,128,64,,
7,181.31482871734985,128,64,,
8,197.4999154561824,128,64,,
9,219.3895564281497,128,64,,
10,279.0694181362162,128,64,,
11,296.63354568419953,128,64,,
12,304.9100429836559,128,64,,
13,340.1546663210254,128,64,,
14,364.2371937484887,128,64,,
15,371.4461293051318,128,64,,
16,431.57438424296123,128,64,,
17,533.1244301196157,128,64,,
18,574.6713103269243,128,64,,
19,632.7833755148935,128,64,,
20,642.0653148359614,128,64,,
21,674.7830738227576,128,64,,
22,732.058947155806,128,64,,
23,760.8580026137836,128,64,,
